name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
K2-329 Ab,K2-329 A,1.8,1.3,2.2,Confirmed,0.26,0.022,0.022,,,,0.774,0.026,0.026,12.4551225,3.1e-06,3.1e-06,0.1016,0.0019,0.0019,0.0697,0.04,0.04,89.22,0.1,0.1,,2020,2024-08-04,161.0,30.0,22.0,,,,,,,2457773.15727,7.5e-05,7.5e-05,,,,,,,0.364,0.048,0.039,,,,24.6,1.8,1.8,650.0,70.0,53.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 246193072 b, EPIC 246193072 Ab, EPIC 246193072.01",,351.133333344,-5.164166681,12.7,,11.17,10.8,10.67,230.4,3.0,3.0,0.098,0.07,0.065,0.901,0.049,0.049,0.822,0.026,0.026,G8V,5282.0,40.0,40.0,,,"EPIC 246193072, EPIC 246193072 A"
K2-33 b,K2-33,0.009,-0.001,0.001,Confirmed,3.7,3.69999,0.0,,,,0.45,0.033,0.03,5.424865,3.1e-05,3.5e-05,0.0409,0.0023,0.0023,0.0,,,89.1,1.1,0.6,,2016,2025-02-13,0.0,,,,,,2456898.69288,0.0012,0.00118,2456898.69288,0.0012,0.0012,,,,,,,0.16,0.11,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 205117205 b, 2MASS J16101473-1919095 b, EPIC 205117205.01, WISE J161014.73-191909.6 b",,242.561401,-19.319273,16.0,,11.095,10.332,,139.8,1.52,1.52,,,,0.56,0.09,0.09,1.05,0.07,0.07,M3.3,3540.0,70.0,70.0,,,"EPIC 205117205, 2MASS J16101473-1919095, WISE J161014.73-191909.6"
K2-36 Bb,K2-36 B,1.4,-0.5,0.4,Confirmed,0.01227,0.00346,0.00346,,,,0.128,0.007,0.007,1.422614,3.8e-05,3.8e-05,0.0223,0.0004,0.0004,0.0,,,84.45,,,,2016,2024-08-01,,,,,,,2456810.8916,0.0013,0.0013,2456809.4684,0.0017,0.0017,,,,,,,0.66,0.09,0.06,,,,2.6,0.7,0.7,1224.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 b, WISE J111747.76+035159.2 b, EPIC 201713348.02, TYC 266-622-1 b, 2MASS J11174778+0351590 b",,169.449066,3.866393,11.8,,10.034,9.549,,109.749,0.612,0.612,-0.047,0.038,0.038,0.769,0.0897,0.0897,0.754,0.045,0.045,K3V,4772.39,104.68,104.68,,,"EPIC 201713348, TYC 266-622-1, WISE J111747.76+035159.2, GRV 832 B, 2MASS J11174778+0351590a"
K2-36 Bc,K2-36 B,1.4,-0.5,0.4,Confirmed,0.02454,0.00724,0.00724,,,,0.2783,0.0196,0.0196,5.3410507,2.57e-05,2.57e-05,0.054,0.001,0.001,0.0,,,86.917,0.0056,0.0066,,2016,2024-08-01,,,,,,,2456812.84001,0.00071,0.00071,2456812.8422,0.0008,0.0008,,,,,,,0.9345,0.0039,0.0039,,,,3.4,1.0,1.0,788.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201713348 c, WISE J111747.76+035159.2 c, EPIC 201713348.0, TYC 266-622-1 c, 2MASS J11174778+0351590 c",,169.449066,3.866393,11.8,,10.034,9.549,,109.749,0.612,0.612,-0.047,0.038,0.038,0.769,0.0897,0.0897,0.754,0.045,0.045,K3V,4772.39,104.68,104.68,,,"EPIC 201713348, TYC 266-622-1, WISE J111747.76+035159.2, GRV 832 B, 2MASS J11174778+0351590a"
K2-38 b,K2-38,6.1,3.1,3.4,Confirmed,0.06,0.03,0.03,,,,0.17,0.03,0.03,4.01593,0.0005,0.0005,0.04994,0.00049,0.00049,0.197,0.06,0.067,87.28,2.48,2.48,,2016,2021-02-05,33.0,33.0,26.0,,,,,,,2456896.8786,0.0054,0.0054,,,,,,,0.48,0.3,0.3,,,,4.6,1.1,1.1,1266.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16000805-2311213 b, EPIC 204221263 b, EPIC 204221263.02, TYC 6779-268-1 b, WISE J160008.01-231121.6 b",,240.033585,-23.189287,11.4,,9.911,9.6,,192.69,2.597,2.669,0.235,0.07,0.07,1.054,0.063,0.07,1.141,0.12,0.12,G3V,5705.0,66.0,66.0,,,"WISE J160008.01-231121.6, EPIC 204221263, TYC 6779-268-1, 2MASS J16000805-2311213"
K2-38 c,K2-38,6.1,3.1,3.4,Confirmed,0.03115,0.01447,0.01447,,,,0.216,0.026,0.026,10.56103,0.0009,0.0009,0.0964,0.0016,0.0016,0.161,0.078,0.096,88.61,1.67,1.0,,2016,2021-02-05,152.0,33.0,54.0,,,,2456900.4752,0.0033,0.0033,2456900.4752,0.0033,0.0033,,,,,,,0.64,0.41,0.23,,,,2.8,1.3,1.3,858.0,37.0,37.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J16000805-2311213 c, EPIC 204221263 c, EPIC 204221263.01, TYC 6779-268-1 c, WISE J160008.01-231121.6 c",,240.033585,-23.189287,11.4,,9.911,9.6,,192.69,2.597,2.669,0.235,0.07,0.07,1.054,0.063,0.07,1.141,0.12,0.12,G3V,5705.0,66.0,66.0,,,"WISE J160008.01-231121.6, EPIC 204221263, TYC 6779-268-1, 2MASS J16000805-2311213"
K2-39 b,K2-39,3.09,0.7,0.92,Confirmed,0.09,0.05,0.05,,,,0.56,0.15,0.15,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.0,,,80.39,4.19,4.19,,2016,2021-02-05,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,14.4,2.6,2.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J22332842-0901219 b, EPIC 206247743 b, EPIC 206247743.01, TYC 5811-00835-1 b, WISE J223328.38-090122.4 b",,338.368378,-9.022769,10.83,,9.082,8.594,,310.14,4.7,4.7,0.32,0.04,0.04,0.66,0.56,0.56,2.97,0.77,0.77,,4881.0,20.0,20.0,,,"2MASS J22332842-0901219, EPIC 206247743, TYC 5811-835-1, WISE J223328.38-090122.4"
K2-418 b,K2-418,4.9,1.7,1.9,Confirmed,0.0327,0.005,0.005,,,,0.2079,0.008,0.0071,16.141132,2e-05,2e-05,0.124,0.002,0.002,0.23,0.23,0.0,88.08,0.25,0.25,,2023,2023-12-10,,,,,,,,,,2457920.44584,0.0008,0.0008,,,,,,,,,,,,,2.76,0.4,0.4,804.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 229004835 b,,186.487500019,-1.404722234,10.2,,,,,121.97,0.87,0.88,-0.12,0.05,0.05,0.97,0.04,0.04,1.0,0.008,0.008,,5868.0,60.0,60.0,,,EPIC 229004835
K2-419 Ab,K2-419 A,7.4,4.8,4.4,Confirmed,0.617,0.047,0.047,,,,0.941,0.034,0.034,20.35847252,5.75e-06,6.14e-06,0.1208,0.0017,0.0016,0.042,0.029,0.054,89.54,0.09,0.12,,2024,2024-08-28,0.017,1.214,1.022,,,,,,,2459553.7138,0.0005,0.0005,,,,,,,0.389,0.103,0.075,,,,67.0,4.0,5.0,377.0,11.0,11.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-5176 b, TOI-5176.01, EPIC 211509553 b",,135.01980898566,13.2738224756,16.58,,,,,263.8,2.5,2.5,-0.11,0.12,0.12,0.562,0.024,0.024,0.541,0.017,0.017,M0V,3711.0,88.0,88.0,,,"EPIC 211509553, TOI-5176, TIC 437054764"
K2-5 b,K2-5,14.08,6.5,4.07,Confirmed,,,,,,,0.17,0.039,0.039,5.73594,0.00064,0.00064,0.0532,0.0038,0.0038,,,,87.35,3.37,1.88,,2015,2024-08-16,,,,,,,2456808.86,0.0048,0.0048,,,,,,,,,,0.65,0.41,0.22,,,,,,,565.0,84.0,84.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201338508 b, WISE J111712.83-015240.3 b, EPIC 201338508.02, 2MASS J11171284-0152406 b",,169.303497,-1.877976,14.91,,12.449,11.758,,202.943,1.652,1.652,-0.47,0.09,0.09,0.56,0.01,0.01,0.55,0.01,0.01,M0V,4066.0,70.0,70.0,,,"EPIC 201338508, 2MASS J11171284-0152406, WISE J111712.83-015240.3"
K2-5 c,K2-5,14.08,6.5,4.07,Confirmed,,,,,,,0.202,0.055,0.055,10.93241,0.00134,0.00134,0.0818,0.0059,0.0059,,,,86.95,2.47,2.47,,2015,2024-08-16,,,,,,,2456814.601,0.0052,0.0052,,,,,,,,,,0.83,0.43,0.09,,,,,,,456.0,68.0,68.0,,,,,,,Published in a refereed paper,Primary Transit,,,"EPIC 201338508 c, WISE J111712.83-015240.3 c, EPIC 201338508.01a, 2MASS J11171284-0152406 ca",,169.303497,-1.877976,14.91,,12.449,11.758,,202.943,1.652,1.652,-0.47,0.09,0.09,0.56,0.01,0.01,0.55,0.01,0.01,M0V,4066.0,70.0,70.0,,,"EPIC 201338508, 2MASS J11171284-0152406, WISE J111712.83-015240.3"
K2-6 b,K2-6,4.02,1.73,1.83,Confirmed,,,,,,,0.223,0.079,0.079,30.94191,0.00467,0.00467,0.1898,0.0056,0.0056,,,,,,,,2015,2024-08-16,,,,,,,2456827.5014,0.009,0.009,,,,,,,,,,,,,,,,,,,615.0,105.0,105.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201384232 b, WISE J115246.12-011154.3 b, EPIC 201384232.01, 2MASS J11524614-0111545 b",,178.192261,-1.198477,12.66,,11.44,11.09,,319.59,6.39,6.39,-0.1,0.06,0.06,0.92,0.03,0.02,0.89,0.01,0.02,G3V,5692.0,100.0,100.0,,,"EPIC 201384232, 2MASS J11524614-0111545, WISE J115246.12-011154.3"
K2-60 b,K2-60,10.0,3.0,3.0,Confirmed,0.426,0.037,0.037,,,,0.683,0.037,0.037,3.00265,4e-05,4e-05,0.045,0.003,0.003,0.0,,,88.49,0.96,0.96,,2016,2026-03-28,,,,,,,2456928.0593,0.0007,0.0007,2456928.0593,0.0007,0.0007,,,,,,,0.21,0.13,0.13,,,,61.0,2.6,2.6,1400.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 206038483.01, TOI-4547 b",,338.606171,-13.731702,,,11.41,11.085,10.99,498.7,11.44,11.44,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,G4 V,5500.0,100.0,100.0,,,"2MASS 22342548-134351, EPIC 22342548-13435, 2MASS J22342548-1343541, EPIC 206038483, WISE J223425.49-134354.3"
K2-7 b,K2-7,8.24,0.5,0.5,Confirmed,,,,,,,0.238,0.05,0.05,28.67992,0.00947,0.00947,0.1814,0.0043,0.0043,,,,,,,,2015,2024-08-16,,,,,,,2456824.6155,0.0149,0.0149,,,,,,,,,,,,,,,,,,,651.0,61.0,61.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201393098 b, WISE J110822.49-010356.9 b, EPIC 201393098.01, 2MASS J11082249-0103565 b",,167.093765,-1.065755,13.2,,11.952,11.628,,738.553,15.429,15.429,-0.25,0.06,0.06,1.0,0.02,0.03,1.56,0.03,0.03,G2IV,5699.0,100.0,100.0,,,"EPIC 201393098, 2MASS J11082249-0103565, WISE J110822.49-010356.9"
K2-77 b,K2-77,0.85,-0.45,0.45,Confirmed,1.9,1.9,0.0,1.9,,,0.205,0.014,0.014,8.199796,0.000719,0.000683,,,,0.14,0.09,0.22,88.7,0.8,0.8,,2016,2022-06-08,1.0,114.0,106.0,,,,2457070.80596,0.00179,0.0019,2457070.80596,0.00179,0.0019,,,,,,,0.46,0.3,0.24,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 210363145 b, EPIC 210363145.01",,55.228428,12.572612,12.158,,10.384,9.91,,142.31,0.87,0.87,0.29,0.06,0.06,0.8,0.12,0.12,0.76,0.03,0.03,K,4970.0,45.0,45.0,,,"EPIC 210363145, 2MASS J03405481+1234216, WISE J034054.84+123421.0"
K2-8 b,K2-8,6.92,4.69,6.36,Confirmed,,,,,,,0.319,0.063,0.063,10.35239,0.00086,0.00086,0.0856,0.0012,0.0012,,,,86.42,1.37,2.56,,2015,2024-08-16,,,,,,,2456813.6114,0.003,0.003,,,,,,,,,,0.88,0.36,0.04,,,,,,,631.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"WISE J111910.45-001703.8 b, EPIC 201445392 b, EPIC 201445392.01, 2MASS J11191047-0017036 b",,169.793671,-0.284375,14.384,14.029,12.829,12.318,12.245,407.93,11.83,11.83,0.02,0.06,0.06,0.78,0.02,0.02,0.75,0.02,0.03,K2V,4846.0,100.0,100.0,,,"EPIC 201445392, 2MASS J11191047-0017036, WISE J111910.45-001703.8"
K2-8 c,K2-8,6.92,4.69,6.36,Confirmed,,,,,,,0.215,0.029,0.029,5.06416,0.00041,0.00041,0.0532,0.0009,0.0009,,,,86.7,2.48,2.48,,2016,2024-08-16,,,,,,,2456813.0707,0.0033,0.0033,,,,,,,,,,0.78,0.42,0.12,,,,,,,801.0,,,,,,,,,Submitted to a professional journal,Primary Transit,,,"EPIC 201445392 c, WISE J111910.45-001703.8 c, EPIC 201445392.02, 2MASS J11191047-0017036 c",,169.793671,-0.284375,14.384,14.029,12.829,12.318,12.245,407.93,11.83,11.83,0.02,0.06,0.06,0.78,0.02,0.02,0.75,0.02,0.03,K2V,4846.0,100.0,100.0,,,"EPIC 201445392, 2MASS J11191047-0017036, WISE J111910.45-001703.8"
K2-9 b,K2-9,1.0,,,Confirmed,,,,,,,0.201,0.086,0.047,18.4498,0.0015,0.0015,0.091,0.016,0.013,,,,87.983,0.08,1.593,,2015,2024-08-16,,,,,,,2456822.6712,0.0033,0.0025,,,,,,,,,,0.9261,0.4929,0.008,,,,,,,314.0,64.0,67.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"EPIC 201465501 b, WISE J114503.35+000019.3 b, EPIC 201465501.01, 2MASS J11450348+0000190 b",,176.264465,0.005301,,,12.451,11.71,,82.9631,0.3714,0.3747,-0.25,0.2,0.2,0.3,0.02,0.02,0.322,0.098,0.098,M2.5V,3528.0,157.0,157.0,,,"EPIC 201465501, LP 613-39, 2MASS J11450348+0000190, WISE J114503.35+000019.3"
K2-95 b,K2-95,0.8,,,Confirmed,1.67,1.66,0.0,,,,0.346,0.156,0.156,10.134016,0.001143,0.001132,0.0696,0.0006,0.0006,0.16,0.11,0.19,89.25,0.6,0.6,,2016,2021-02-05,283.0,53.0,69.0,,,,2457150.87837,0.00401,0.00391,2457282.6279,0.0011,0.0011,,,,,,,0.83,0.48,0.18,,,,,,,383.0,8.0,8.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"JS 183 b, EPIC 211916756 b, 2MASS J08372705+1858360, 2MASS J08372705+1858360 b, EPIC 211916756.01, WISE J083727.03+185835.9 b",,129.362747,18.976685,17.1,,13.312,12.738,,180.63,3.93,3.93,-0.03,0.17,0.17,0.44,0.01,0.01,0.42,0.01,0.01,M3.0,3548.0,59.0,59.0,,,"EPIC 211916756, JS 183, 2MASS J08372705+1858360, WISE J083727.03+185835.9"
K2-97 b,K2-97,7.8,2.0,2.0,Confirmed,1.1,0.11,0.11,,,,0.947,0.085,0.085,8.406726,0.001827,0.001863,0.086,0.0011,0.0011,,,,,,,,2016,2021-02-05,,,,,,,2457142.04977,0.00854,0.00888,,,,,,,,,,0.44,0.3,0.33,,,,,,,1499.0,39.0,39.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211351816 b, 2MASS 08310308+1050513 b, 2MASS J08310308+1050513 b, EPIC 211351816.01, WISE J083103.08+105051.2 b",,127.762833,10.847586,,,10.694,10.177,,869.76,31.37,31.37,0.33,0.04,0.04,1.2,0.05,0.05,4.47,0.18,0.18,,4717.0,73.0,73.0,,,"EPIC 211351816, 2MASS J08310308+1050513, WISE J083103.08+105051.2"
K2-98 b,K2-98,5.2,1.0,1.2,Confirmed,0.101,0.025,0.025,,,,0.464,0.017,0.017,10.136448,0.000591,0.000609,0.0974,0.0009,0.0009,,,,89.0,0.7,0.5,,2016,2021-02-05,,,,,,,2457145.9823,0.00214,0.0022,2457145.9807,0.0012,0.0012,,,,,,,0.33,0.22,0.28,,,,9.1,2.3,2.3,1092.0,21.0,21.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS 08255719+1130402 b, UCAC 508-047859 b, 2MASS J08255719+1130402 b, EPIC 211391664 b, EPIC 211391664.01, WISE J082557.17+113040.0 b",,126.488289,11.511145,12.166,,11.124,10.905,,526.31,11.13,11.13,-0.06,0.05,0.05,1.2,0.03,0.03,1.57,0.04,0.04,F8 V,6172.0,82.0,82.0,,,"2MASS 08255719+1130402, K2-98, 2MASS J08255719+1130402, EPIC 211391664, WISE J082557.17+113040.0"
K2-99 b,K2-99,2.4,0.6,0.2,Confirmed,0.87,0.02,0.02,,,,1.046,0.037,0.037,18.24783,3e-05,3e-05,0.153,0.001,0.001,0.22,0.01,0.01,87.7,0.3,0.3,,2016,2021-12-03,334.0,4.0,4.0,,,,2457233.82366,0.00261,0.00255,2458162.7133,0.005,0.005,,,,,,,0.34,0.05,0.05,,,,54.0,1.0,1.0,1184.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TYC 4974-871 b, 2MASS J13550570-0526330 b, EPIC 212803289 b, EPIC 212803289.01, TYC 4974-871-1 b, WISE J135505.70-052632.9 b",,208.773743,-5.442466,11.149,,10.024,9.755,,522.29,11.88,11.88,0.21,0.06,0.06,1.63,0.04,0.04,2.63,0.07,0.07,G0 IV,6217.0,78.0,78.0,,,"TYC 4974-871, 2MASS J13550570-0526330, EPIC 212803289, TYC 4974-871-1, WISE J135505.70-052632.9"
K2-99 c,K2-99,2.4,0.6,0.2,Confirmed,,0.2,0.2,8.4,0.2,0.2,,,,522.2,1.4,1.4,1.43,0.01,0.01,0.21,0.01,0.01,,,,,2021,2021-12-03,13.0,2.0,2.0,2458025.6,2.8,2.8,,,,,,,,,,,,,,,,,,,170.0,2.0,2.0,390.0,6.0,6.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,208.773743,-5.442466,11.149,,10.024,9.755,,522.29,11.88,11.88,0.21,0.06,0.06,1.63,0.04,0.04,2.63,0.07,0.07,G0 IV,6217.0,78.0,78.0,,,"TYC 4974-871, 2MASS J13550570-0526330, EPIC 212803289, TYC 4974-871-1, WISE J135505.70-052632.9"
KELT-1 Ab,KELT-1 A,1.75,0.25,0.25,Confirmed,27.23,0.48,0.5,,,,1.15,0.16,0.1,1.217514,1.5e-05,1.5e-05,0.02472,0.00039,0.00039,0.01,0.007,0.01,87.6,1.9,1.3,,2012,2024-08-06,61.0,71.0,79.0,2455914.08,0.25,0.25,,,,2455914.1628,0.0023,0.0023,2456181.40403,0.00075,0.00096,2.0,16.0,16.0,,,,,,,,,,2423.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,"TOI-1476 b, TOI-1476.01",,0.358333342,39.383611119,10.63,,,,,263.0,14.0,14.0,0.052,0.079,0.079,1.335,0.063,0.063,1.471,0.045,0.045,F5V,6516.0,49.0,49.0,,,"TOI-1476, 2MASS J00012691+3923017"
KELT-10 b,KELT-10,4.5,0.7,0.7,Confirmed,0.679,0.039,0.039,0.679,0.039,0.039,1.399,0.049,0.069,4.166285,5.7e-05,5.7e-05,0.0525,0.00097,0.00086,,,,88.61,0.74,0.86,,2015,2018-12-17,,,,,,,,,,2457175.0439,0.0054,0.0054,,,,,,,0.23,0.14,0.11,,,,80.0,3.5,3.5,1377.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,284.545833337,-47.003333336,10.8,,,,,183.0,14.0,14.0,0.09,0.11,0.11,1.112,0.061,0.055,1.209,0.035,0.047,,5948.0,74.0,74.0,,,
KELT-16 Ab,KELT-16 A,2.9,0.2,0.2,Confirmed,2.75,0.15,0.16,2.74,0.15,0.15,1.415,0.067,0.084,0.9689951,2e-06,2e-06,0.02044,0.00026,0.00024,,,,,,,,2016,2025-03-28,,,,,,,2457247.24791,0.00019,0.00019,,,,,,,,,,,,,,,,494.0,25.0,25.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TYC 2688-1839-1 b, 2MASS J20570443+3139397 b",,314.268479168,31.6609916885,11.9,,,,,365.0,20.0,20.0,-0.002,0.085,0.086,1.211,0.046,0.043,1.36,0.053,0.064,F7V,6236.0,54.0,54.0,,,"TYC 2688-1839-1, 2MASS J20570443+3139397, TOI-1282"
KELT-18 Ab,KELT-18 A,1.9,0.2,0.2,Confirmed,1.176,0.036,0.036,,,,1.568,0.029,0.029,2.8716082,1e-06,1e-06,0.04573,0.00086,0.00086,0.0,,,89.24,0.06,0.06,,2017,2024-08-01,,,,,,,,,,2458932.42707,0.00024,0.00024,2457541.08916,0.00039,0.00039,-94.8,0.7,0.7,0.069,0.05,0.05,,,,127.0,13.0,13.0,2077.0,38.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1300 b, TOI-1300.01, BD+60 1538 b",,216.525000002,59.444166684,10.1,,,,,311.0,14.0,14.0,0.09,0.13,0.13,1.524,0.069,0.069,1.908,0.035,0.042,F4V,6670.0,120.0,120.0,,,"BD+60 1538, TOI-1300"
KELT-19 Ab,KELT-19 A,1.1,0.1,0.1,Confirmed,4.07,4.06,0.0,,,,1.91,0.11,0.11,4.6117093,9e-06,9e-06,,,,,,,85.41,0.34,0.34,,2017,2024-07-28,,,,,,,,,,2457281.249537,0.00036,0.00036,,,,180.3,3.8,3.8,0.6,0.03,0.03,,,,352.0,351.0,0.0,1935.0,38.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-508 Ab, TOI-508.01",,111.512500001,7.615833358,,,,,,255.0,15.0,15.0,-0.12,0.51,0.51,1.62,0.25,0.25,1.83,0.1,0.1,A8V,7500.0,110.0,110.0,,,"TOI-508, BD+07 1721"
KELT-20 Ab,KELT-20 A,0.3,0.1,0.2,Confirmed,3.518,3.517,0.0,,,,1.83,0.07,0.07,3.4741085,1.9e-06,1.9e-06,0.0542,0.0021,0.0014,,,,86.2,0.1,0.1,,2017,2025-09-04,,,,,,,2457485.74965,0.0002,0.0002,,,,,,,0.6,4.0,4.0,,,,,,,,,,2230.0,70.0,60.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 185603 b, MASCARA-2 b, KELT-20 b/MASCARA-2 b, TOI-1151.01","Ca+, CO, Cr II, Fe, Fe+, Fe I, Fe II, H, H2O, Mg, Na, NI, Si, TiO",294.661396263,31.2192261175,7.58,,,,,136.426,0.807,0.816,-0.29,0.36,0.22,2.0,0.1,0.2,1.561,0.064,0.058,A2V,8981.0,115.0,115.0,,,"SAO 68614, 2MASS J19383872+3113091"
KELT-20 Ac,KELT-20 A,0.3,0.1,0.2,Confirmed,34.0,11.0,29.0,,,,,,,4380.0,2190.0,5475.0,6.6,3.4,4.8,0.43,0.3,0.34,1.5,0.9,1.0,,2026,2026-06-03,3.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry, TTV",Astrometry,,"MASCARA-2 Ac, HD 185603 c",,294.661396263,31.2192261175,7.58,,,,,136.426,0.807,0.816,-0.29,0.36,0.22,2.0,0.1,0.2,1.561,0.064,0.058,A2V,8981.0,115.0,115.0,,,"SAO 68614, 2MASS J19383872+3113091"
KELT-21 Ab,KELT-21 A,1.6,0.1,0.1,Confirmed,3.88,0.05,0.05,,,,1.584,0.034,0.034,3.6127732,3.7e-06,3.7e-06,0.0536,0.0016,0.0016,,,,87.1,0.5,0.6,,2017,2024-08-05,,,,,,,,,,2459420.24239,0.00022,0.00022,,,,,,,0.36,0.07,0.05,,,,400.0,400.0,0.0,2025.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 332124 b, TOI-1198.01",,304.800000004,32.581111134,10.5,,,,,415.0,50.0,50.0,-0.405,0.033,0.033,1.458,0.029,0.029,1.638,0.034,0.034,A8V,7598.0,84.0,84.0,,,"HD 332124, TOI-1198"
KELT-22 Ab,KELT-22 A,5.0,0.0,5.0,Confirmed,3.69,0.18,0.18,,,,1.2,0.06,0.06,1.38665318,2.7e-07,2.7e-07,0.0248,0.0006,0.0006,0.0,,,85.2,1.1,1.1,,2018,2024-09-06,,,,,,,,,,2457288.8585,,,,,,11.0,20.0,32.0,0.4,0.08,0.08,,,,645.0,7.0,7.0,1880.0,55.0,55.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"WASP-173 Ab, TOI-241.01",,354.16666668,-34.61138891,11.3,,,,,232.98,1.7765,1.7765,0.16,0.14,0.14,1.05,0.08,0.08,1.11,0.05,0.05,G3V,5700.0,150.0,150.0,,,"WASP-173 A, TOI-241"
KELT-23 Ab,KELT-23 A,6.4,3.2,3.5,Confirmed,0.937,0.04,0.04,,,,1.29,0.02,0.02,2.25528756,6e-08,6e-08,0.03523,0.0005,0.0005,,,,86.04,0.04,0.04,,2019,2025-07-04,,,,,,,,,,2458683.911353,2e-05,2e-05,,,,,,,0.525,0.005,0.004,,,,150.6,4.4,4.4,1513.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1165.01,H2O,232.145833345,66.358888903,10.4,,9.2,,,125.42,0.35,0.35,-0.105,0.078,0.078,0.942,0.054,0.06,0.996,0.015,0.015,G0V,5899.0,49.0,49.0,,,"BD+66 911, TOI-1165"
